Please cite: Lisiecki, L. E., and M. E. Raymo (2005), A Pliocene-
Pleistocene stack of 57 globally distributed benthic d18O records, 
Paleoceanography,20, PA1003, doi:10.1029/2004PA001071.		

Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
98.0	3.90	0.04
99.0	3.78	0.06
100.0	3.81	0.06
101.0	3.92	0.05
102.0	3.86	0.05
103.0	3.88	0.04
104.0	3.92	0.05
105.0	3.85	0.06
106.0	4.00	0.04
107.0	4.04	0.05
108.0	4.11	0.04
109.0	4.12	0.05
110.0	4.04	0.05
111.0	4.02	0.05
112.0	4.03	0.04
113.0	3.93	0.05
114.0	3.81	0.05
115.0	3.71	0.04
116.0	3.58	0.04
117.0	3.54	0.05
118.0	3.44	0.06
119.0	3.30	0.03
120.0	3.27	0.04
121.0	3.26	0.04
122.0	3.18	0.03
123.0	3.10	0.05
124.0	3.27	0.04
125.0	3.14	0.06
126.0	3.16	0.04
127.0	3.37	0.05
128.0	3.71	0.07
129.0	3.90	0.08
130.0	3.67	0.09
131.0	3.81	0.09
132.0	4.20	0.06
133.0	4.41	0.05
134.0	4.70	0.05
135.0	4.86	0.04
136.0	4.82	0.05
137.0	4.80	0.05
138.0	4.89	0.04
139.0	4.87	0.05
140.0	4.98	0.05
141.0	4.81	0.05
142.0	4.75	0.06
143.0	4.78	0.05
144.0	4.82	0.05
145.0	4.74	0.05
146.0	4.77	0.05
147.0	4.82	0.05
148.0	4.71	0.05
149.0	4.75	0.04
150.0	4.75	0.06
151.0	4.66	0.06
152.0	4.64	0.05
153.0	4.62	0.04
154.0	4.66	0.04
155.0	4.51	0.04
156.0	4.78	0.04
157.0	4.74	0.04
158.0	4.69	0.03
159.0	4.66	0.05
160.0	4.69	0.05
161.0	4.65	0.04
162.0	4.66	0.05
163.0	4.70	0.06
164.0	4.68	0.05
165.0	4.68	0.05
166.0	4.48	0.04
167.0	4.41	0.06
168.0	4.48	0.04
169.0	4.50	0.04
170.0	4.50	0.03
171.0	4.53	0.04
172.0	4.46	0.03
173.0	4.38	0.03
174.0	4.28	0.04
175.0	4.32	0.05
176.0	4.39	0.04
177.0	4.46	0.04
178.0	4.44	0.03
179.0	4.48	0.05
180.0	4.39	0.06
181.0	4.46	0.03
182.0	4.48	0.05
183.0	4.37	0.04
184.0	4.40	0.06
185.0	4.59	0.06
186.0	4.47	0.04
187.0	4.40	0.05
188.0	4.46	0.05
189.0	4.39	0.04
190.0	4.28	0.05
191.0	4.13	0.05
192.0	3.76	0.05
193.0	3.92	0.05
194.0	3.84	0.07
195.0	3.91	0.05
196.0	3.82	0.04
197.0	3.74	0.06
198.0	3.82	0.04
199.0	3.57	0.05
200.0	3.53	0.07
201.0	3.53	0.03
202.0	3.63	0.06
203.0	3.61	0.07
204.0	3.78	0.05
205.0	3.82	0.06
206.0	3.77	0.07
207.0	3.78	0.08
208.0	3.71	0.07
209.0	3.64	0.06
210.0	3.57	0.07
211.0	3.60	0.06
212.0	3.61	0.06
213.0	3.65	0.06
214.0	3.56	0.07
215.0	3.54	0.05
216.0	3.53	0.04
217.0	3.48	0.09
218.0	3.72	0.05
219.0	3.94	0.05
220.0	3.98	0.06
221.0	4.23	0.06
222.0	4.38	0.09
223.0	4.44	0.07
224.0	4.39	0.07
225.0	4.28	0.06
226.0	4.29	0.05
227.0	4.19	0.05
228.0	4.19	0.12
229.0	4.02	0.08
230.0	4.30	0.06
231.0	4.22	0.07
232.0	4.17	0.07
233.0	3.97	0.06
234.0	3.84	0.05
235.0	3.71	0.06
236.0	3.66	0.05
237.0	3.47	0.04
238.0	3.51	0.06
239.0	3.44	0.04
240.0	3.44	0.06
241.0	3.54	0.08
242.0	3.68	0.06
243.0	3.78	0.08
244.0	4.05	0.06
245.0	4.17	0.06
246.0	4.38	0.05
247.0	4.31	0.04
248.0	4.38	0.07
249.0	4.36	0.05
250.0	4.50	0.05
251.0	4.58	0.04
252.0	4.63	0.04
253.0	4.52	0.06
254.0	4.57	0.04
255.0	4.37	0.05
256.0	4.43	0.06
257.0	4.55	0.05
258.0	4.51	0.05
259.0	4.52	0.04
260.0	4.46	0.06
261.0	4.52	0.03
262.0	4.45	0.05
263.0	4.46	0.05
264.0	4.42	0.04
265.0	4.44	0.05
266.0	4.50	0.05
267.0	4.50	0.05
268.0	4.33	0.06
269.0	4.52	0.06
270.0	4.51	0.06
271.0	4.50	0.05
272.0	4.44	0.06
273.0	4.44	0.03
274.0	4.38	0.04
275.0	4.38	0.05
276.0	4.30	0.06
277.0	4.44	0.05
278.0	4.31	0.05
279.0	4.23	0.07
280.0	4.14	0.05
281.0	4.21	0.04
282.0	3.98	0.05
283.0	3.87	0.06
284.0	3.86	0.04
285.0	3.84	0.04
286.0	3.82	0.05
287.0	3.89	0.04
288.0	4.02	0.06
289.0	4.06	0.05
290.0	4.10	0.06
291.0	4.11	0.04
292.0	4.27	0.07
293.0	4.22	0.06
294.0	4.33	0.05
295.0	4.31	0.03
296.0	4.23	0.04
297.0	4.30	0.06
298.0	4.17	0.04
299.0	4.23	0.04
300.0	4.02	0.07
301.0	4.06	0.07
302.0	4.06	0.07
303.0	4.00	0.06
304.0	4.07	0.04
305.0	4.07	0.07
306.0	4.05	0.06
307.0	4.00	0.04
308.0	3.85	0.04
309.0	3.86	0.06
310.0	3.80	0.06
311.0	3.70	0.04
312.0	3.79	0.05
313.0	3.69	0.06
314.0	3.77	0.06
315.0	3.62	0.06
316.0	3.69	0.07
317.0	3.89	0.05
318.0	3.76	0.04
319.0	3.58	0.05
320.0	3.66	0.05
321.0	3.53	0.05
322.0	3.53	0.05
323.0	3.47	0.05
324.0	3.21	0.05
325.0	3.31	0.04
326.0	3.23	0.04
327.0	3.22	0.04
328.0	3.23	0.05
329.0	3.19	0.04
330.0	3.30	0.04
331.0	3.29	0.06
332.0	3.39	0.08
333.0	3.38	0.07
334.0	3.51	0.08
335.0	3.75	0.08
336.0	4.08	0.08
337.0	4.23	0.08
338.0	4.17	0.07
339.0	4.42	0.07
340.0	4.60	0.06
341.0	4.84	0.06
342.0	4.83	0.05
343.0	4.80	0.07
344.0	4.76	0.07
345.0	4.79	0.05
346.0	4.68	0.06
347.0	4.53	0.07
348.0	4.49	0.10
349.0	4.62	0.04
350.0	4.67	0.05
351.0	4.64	0.05
352.0	4.47	0.09
353.0	4.47	0.05
354.0	4.40	0.06
355.0	4.59	0.04
356.0	4.46	0.07
357.0	4.55	0.07
358.0	4.58	0.04
359.0	4.49	0.08
360.0	4.54	0.04
361.0	4.50	0.06
362.0	4.50	0.04
363.0	4.53	0.05
364.0	4.36	0.04
365.0	4.46	0.05
366.0	4.32	0.06
367.0	4.37	0.04
368.0	4.40	0.05
369.0	4.38	0.04
370.0	4.36	0.05
371.0	4.27	0.05
372.0	4.42	0.04
373.0	4.29	0.07
374.0	4.34	0.06
375.0	4.20	0.05
376.0	4.21	0.05
377.0	4.20	0.04
378.0	4.19	0.03
379.0	4.17	0.05
380.0	4.19	0.05
381.0	4.15	0.03
382.0	4.05	0.06
383.0	4.12	0.03
384.0	4.08	0.05
385.0	4.14	0.03
386.0	4.02	0.07
387.0	3.99	0.04
388.0	3.92	0.04
389.0	3.89	0.04
390.0	3.96	0.06
391.0	4.00	0.05
392.0	3.97	0.03
393.0	3.86	0.05
394.0	3.92	0.05
395.0	3.76	0.05
396.0	3.72	0.04
397.0	3.47	0.09
398.0	3.54	0.04
399.0	3.48	0.06
400.0	3.32	0.04
401.0	3.20	0.05
402.0	3.17	0.05
403.0	3.15	0.04
404.0	3.20	0.05
405.0	3.11	0.04
406.0	3.19	0.04
407.0	3.21	0.05
408.0	3.17	0.06
409.0	3.22	0.06
410.0	3.15	0.06
411.0	3.29	0.05
412.0	3.31	0.04
413.0	3.38	0.03
414.0	3.41	0.04
415.0	3.41	0.05
416.0	3.51	0.06
417.0	3.57	0.05
418.0	3.75	0.05
419.0	3.81	0.03
420.0	3.77	0.06
421.0	3.85	0.07
422.0	3.94	0.05
423.0	4.02	0.07
424.0	3.92	0.07
425.0	4.30	0.14
426.0	4.50	0.07
427.0	4.30	0.10
428.0	4.72	0.06
429.0	4.91	0.07
430.0	4.98	0.07
431.0	5.05	0.05
432.0	5.05	0.08
433.0	5.08	0.05
434.0	5.08	0.05
435.0	5.02	0.10
436.0	5.07	0.04
437.0	4.90	0.08
438.0	4.79	0.10
439.0	4.87	0.06
440.0	4.76	0.09
441.0	4.95	0.07
442.0	4.96	0.05
443.0	4.91	0.04
444.0	4.82	0.07
445.0	4.91	0.05
446.0	4.82	0.05
447.0	4.51	0.08
448.0	4.77	0.06
449.0	4.73	0.06
450.0	4.75	0.06
451.0	4.58	0.06
452.0	4.73	0.05
453.0	4.56	0.09
454.0	4.60	0.04
455.0	4.41	0.09
456.0	4.62	0.05
457.0	4.63	0.08
458.0	4.55	0.05
459.0	4.63	0.06
460.0	4.56	0.07
461.0	4.59	0.04
462.0	4.61	0.05
463.0	4.61	0.05
464.0	4.44	0.05
465.0	4.57	0.04
466.0	4.46	0.03
467.0	4.44	0.06
468.0	4.38	0.04
469.0	4.51	0.04
470.0	4.33	0.05
471.0	4.25	0.07
472.0	4.32	0.05
473.0	4.36	0.05
474.0	4.39	0.06
475.0	4.35	0.03
476.0	4.30	0.05
477.0	4.27	0.03
478.0	4.22	0.04
479.0	4.12	0.04
480.0	4.12	0.04
481.0	4.17	0.05
482.0	4.01	0.03
483.0	3.97	0.03
484.0	3.79	0.05
485.0	3.81	0.07
486.0	3.76	0.05
487.0	3.72	0.06
488.0	3.67	0.04
489.0	3.60	0.04
490.0	3.54	0.06
491.0	3.47	0.07
492.0	3.63	0.05
493.0	3.72	0.04
494.0	3.83	0.07
495.0	3.83	0.07
496.0	3.83	0.05
497.0	3.68	0.06
498.0	3.82	0.04
499.0	3.75	0.06
500.0	3.84	0.04
501.0	3.78	0.05
502.0	3.75	0.06
503.0	3.81	0.04
504.0	3.91	0.05
505.0	3.86	0.07
506.0	4.01	0.04
507.0	3.93	0.07
508.0	4.16	0.09
509.0	4.06	0.04
510.0	4.14	0.05
511.0	4.06	0.06
512.0	4.22	0.07
513.0	4.25	0.03
514.0	4.10	0.05
515.0	4.10	0.06
516.0	4.01	0.05
517.0	3.96	0.08
518.0	4.07	0.06
519.0	3.96	0.05
520.0	3.95	0.05
521.0	3.91	0.08
522.0	3.88	0.04
523.0	3.93	0.05
524.0	3.83	0.06
525.0	3.92	0.06
526.0	3.97	0.09
527.0	3.96	0.07
528.0	3.92	0.08
529.0	3.99	0.05
530.0	3.97	0.08
531.0	3.92	0.07
532.0	4.01	0.07
533.0	4.11	0.07
534.0	4.27	0.06
535.0	4.29	0.07
536.0	4.55	0.06
537.0	4.43	0.06
538.0	4.54	0.05
539.0	4.48	0.08
540.0	4.53	0.06
541.0	4.50	0.06
542.0	4.45	0.05
543.0	4.45	0.09
544.0	4.46	0.08
545.0	4.43	0.05
546.0	4.51	0.07
547.0	4.53	0.07
548.0	4.55	0.04
549.0	4.53	0.05
550.0	4.50	0.06
551.0	4.45	0.07
552.0	4.52	0.06
553.0	4.46	0.05
554.0	4.29	0.08
555.0	4.25	0.05
556.0	4.39	0.06
557.0	4.35	0.04
558.0	4.25	0.05
559.0	4.17	0.05
560.0	4.14	0.03
561.0	4.21	0.05
562.0	4.14	0.08
563.0	4.17	0.06
564.0	4.01	0.05
565.0	3.96	0.03
566.0	3.86	0.06
567.0	3.94	0.04
568.0	4.00	0.04
569.0	3.97	0.07
570.0	3.91	0.04
571.0	3.89	0.06
572.0	3.59	0.05
573.0	3.65	0.05
574.0	3.73	0.07
575.0	3.39	0.06
576.0	3.46	0.05
577.0	3.48	0.04
578.0	3.50	0.07
579.0	3.57	0.06
580.0	3.69	0.05
581.0	4.00	0.06
582.0	4.13	0.14
583.0	4.29	0.10
584.0	4.31	0.10
585.0	4.33	0.07
586.0	4.18	0.08
587.0	4.11	0.13
588.0	4.19	0.04
589.0	4.07	0.08
590.0	4.09	0.05
591.0	4.07	0.04
592.0	4.02	0.08
593.0	3.99	0.09
594.0	3.90	0.06
595.0	3.88	0.08
596.0	3.89	0.08
597.0	3.80	0.07
598.0	3.99	0.05
599.0	4.02	0.07
600.0	4.07	0.00
602.0	3.97	0.05
604.0	3.77	0.06
606.0	3.80	0.07
608.0	3.80	0.05
610.0	3.49	0.04
612.0	3.52	0.06
614.0	3.53	0.05
616.0	3.66	0.05
618.0	3.81	0.08
620.0	4.09	0.09
622.0	4.31	0.08
624.0	4.63	0.07
626.0	4.90	0.06
628.0	5.01	0.07
630.0	5.08	0.06
632.0	5.05	0.05
634.0	4.93	0.06
636.0	5.00	0.04
638.0	4.80	0.05
640.0	5.01	0.06
642.0	4.75	0.05
644.0	4.68	0.08
646.0	4.72	0.05
648.0	4.75	0.05
650.0	4.71	0.06
652.0	4.79	0.05
654.0	4.77	0.05
656.0	4.57	0.05
658.0	4.58	0.04
660.0	4.64	0.05
662.0	4.80	0.07
664.0	4.58	0.04
666.0	4.50	0.05
668.0	4.65	0.04
670.0	4.42	0.05
672.0	4.52	0.06
674.0	4.46	0.04
676.0	4.40	0.05
678.0	4.26	0.05
680.0	4.14	0.06
682.0	4.15	0.06
684.0	4.03	0.07
686.0	4.13	0.05
688.0	3.95	0.06
690.0	3.70	0.05
692.0	3.71	0.06
694.0	3.64	0.06
696.0	3.50	0.04
698.0	3.57	0.04
700.0	3.65	0.05
702.0	3.76	0.05
704.0	3.84	0.05
706.0	3.93	0.05
708.0	4.03	0.07
710.0	3.98	0.07
712.0	4.06	0.09
714.0	4.29	0.06
716.0	4.61	0.08
718.0	4.75	0.07
720.0	4.66	0.09
722.0	4.65	0.06
724.0	4.44	0.06
726.0	4.32	0.05
728.0	4.16	0.05
730.0	4.16	0.04
732.0	4.02	0.07
734.0	4.15	0.04
736.0	4.19	0.06
738.0	4.21	0.06
740.0	4.11	0.08
742.0	4.17	0.05
744.0	4.48	0.06
746.0	4.67	0.11
748.0	4.59	0.06
750.0	4.60	0.07
752.0	4.48	0.05
754.0	4.55	0.06
756.0	4.59	0.06
758.0	4.26	0.06
760.0	4.33	0.05
762.0	4.11	0.06
764.0	4.28	0.06
766.0	4.11	0.06
768.0	4.07	0.05
770.0	3.99	0.05
772.0	3.87	0.05
774.0	3.76	0.05
776.0	3.64	0.05
778.0	3.56	0.04
780.0	3.48	0.05
782.0	3.54	0.05
784.0	3.55	0.07
786.0	3.68	0.05
788.0	3.70	0.10
790.0	4.16	0.06
792.0	4.27	0.06
794.0	4.74	0.09
796.0	4.67	0.07
798.0	4.68	0.08
800.0	4.68	0.07
802.0	4.73	0.06
804.0	4.55	0.07
806.0	4.53	0.04
808.0	4.49	0.06
810.0	4.31	0.05
812.0	4.38	0.06
814.0	4.12	0.05
816.0	4.08	0.08
818.0	3.90	0.07
820.0	3.96	0.06
822.0	3.90	0.05
824.0	3.92	0.08
826.0	4.11	0.06
828.0	3.95	0.06
830.0	4.04	0.05
832.0	4.07	0.05
834.0	3.95	0.06
836.0	3.82	0.04
838.0	3.99	0.06
840.0	4.02	0.07
842.0	3.81	0.05
844.0	3.67	0.05
846.0	3.58	0.04
848.0	3.63	0.07
850.0	3.50	0.04
852.0	3.65	0.05
854.0	3.63	0.05
856.0	3.46	0.05
858.0	3.42	0.05
860.0	3.45	0.07
862.0	3.68	0.09
864.0	3.58	0.06
866.0	4.06	0.07
868.0	4.32	0.06
870.0	4.51	0.07
872.0	4.67	0.06
874.0	4.68	0.07
876.0	4.69	0.08
878.0	4.59	0.08
880.0	4.68	0.04
882.0	4.42	0.07
884.0	4.47	0.05
886.0	4.47	0.07
888.0	4.45	0.04
890.0	4.39	0.06
892.0	4.32	0.07
894.0	4.41	0.07
896.0	4.40	0.05
898.0	4.33	0.04
900.0	4.29	0.05
902.0	4.17	0.04
904.0	4.14	0.06
906.0	4.12	0.04
908.0	3.99	0.06
910.0	3.99	0.05
912.0	4.09	0.04
914.0	4.03	0.05
916.0	4.06	0.06
918.0	4.37	0.06
920.0	4.51	0.06
922.0	4.55	0.06
924.0	4.43	0.06
926.0	4.38	0.04
928.0	4.26	0.05
930.0	4.10	0.05
932.0	4.07	0.05
934.0	3.98	0.06
936.0	4.02	0.05
938.0	3.86	0.04
940.0	3.89	0.04
942.0	3.69	0.04
944.0	3.57	0.04
946.0	3.63	0.06
948.0	3.48	0.05
950.0	3.44	0.04
952.0	3.30	0.04
954.0	3.39	0.07
956.0	3.33	0.05
958.0	3.73	0.08
960.0	4.16	0.08
962.0	4.42	0.06
964.0	4.58	0.08
966.0	4.30	0.05
968.0	4.21	0.06
970.0	4.09	0.05
972.0	3.98	0.06
974.0	3.87	0.05
976.0	3.77	0.06
978.0	3.72	0.05
980.0	3.76	0.06
982.0	3.99	0.07
984.0	4.15	0.06
986.0	4.24	0.07
988.0	4.21	0.07
990.0	4.11	0.05
992.0	4.06	0.06
994.0	3.94	0.05
996.0	3.84	0.06
998.0	3.84	0.04
1000.0	3.94	0.06
1002.0	4.15	0.07
1004.0	4.28	0.08
1006.0	4.22	0.07
1008.0	4.22	0.05
1010.0	4.12	0.06
1012.0	4.13	0.07
1014.0	3.99	0.06
1016.0	3.73	0.05
1018.0	3.78	0.04
1020.0	3.83	0.05
1022.0	3.57	0.08
1024.0	3.64	0.05
1026.0	3.87	0.06
1028.0	3.84	0.06
1030.0	3.95	0.08
1032.0	4.08	0.04
1034.0	4.36	0.05
1036.0	4.33	0.07
1038.0	4.54	0.09
1040.0	4.33	0.08
1042.0	4.23	0.09
1044.0	4.38	0.06
1046.0	4.22	0.06
1048.0	4.29	0.07
1050.0	4.18	0.05
1052.0	4.27	0.06
1054.0	4.25	0.06
1056.0	4.12	0.06
1058.0	4.23	0.06
1060.0	4.08	0.04
1062.0	3.94	0.06
1064.0	3.66	0.07
1066.0	3.48	0.05
1068.0	3.33	0.05
1070.0	3.34	0.05
1072.0	3.21	0.08
1074.0	3.42	0.06
1076.0	3.48	0.06
1078.0	3.54	0.04
1080.0	3.61	0.04
1082.0	3.81	0.06
1084.0	3.70	0.07
1086.0	3.89	0.04
1088.0	3.91	0.05
1090.0	3.95	0.05
1092.0	4.01	0.04
1094.0	4.00	0.06
1096.0	4.03	0.04
1098.0	4.29	0.05
1100.0	4.08	0.07
1102.0	4.03	0.06
1104.0	3.93	0.06
1106.0	3.83	0.05
1108.0	3.67	0.06
1110.0	3.85	0.06
1112.0	3.84	0.05
1114.0	4.12	0.05
1116.0	4.14	0.05
1118.0	4.20	0.05
1120.0	4.09	0.08
1122.0	4.47	0.06
1124.0	4.34	0.09
1126.0	4.50	0.03
1128.0	4.38	0.06
1130.0	4.32	0.08
1132.0	4.05	0.07
1134.0	4.22	0.06
1136.0	4.24	0.05
1138.0	4.02	0.04
1140.0	4.02	0.06
1142.0	3.97	0.06
1144.0	3.99	0.05
1146.0	3.86	0.04
1148.0	4.02	0.06
1150.0	3.82	0.05
1152.0	3.75	0.05
1154.0	3.76	0.04
1156.0	3.79	0.04
1158.0	3.68	0.05
1160.0	3.60	0.06
1162.0	3.60	0.05
1164.0	3.66	0.06
1166.0	3.53	0.05
1168.0	3.56	0.05
1170.0	3.60	0.07
1172.0	3.73	0.05
1174.0	3.76	0.06
1176.0	3.74	0.06
1178.0	3.80	0.04
1180.0	3.60	0.06
1182.0	3.84	0.04
1184.0	3.65	0.05
1186.0	3.77	0.05
1188.0	3.67	0.08
1190.0	4.05	0.03
1192.0	4.14	0.08
1194.0	4.27	0.06
1196.0	4.28	0.07
1198.0	4.43	0.06
1200.0	4.42	0.06
1202.0	4.20	0.09
1204.0	4.34	0.06
1206.0	4.16	0.07
1208.0	4.32	0.06
1210.0	4.20	0.07
1212.0	4.08	0.07
1214.0	4.10	0.06
1216.0	3.82	0.09
1218.0	3.73	0.11
1220.0	3.97	0.07
1222.0	3.94	0.07
1224.0	3.74	0.06
1226.0	3.63	0.09
1228.0	3.55	0.08
1230.0	3.42	0.06
1232.0	3.41	0.05
1234.0	3.34	0.10
1236.0	3.38	0.07
1238.0	3.35	0.07
1240.0	3.33	0.05
1242.0	3.47	0.10
1244.0	3.85	0.07
1246.0	4.10	0.07
1248.0	4.36	0.03
1250.0	4.31	0.06
1252.0	4.25	0.05
1254.0	4.27	0.05
1256.0	4.11	0.05
1258.0	3.90	0.08
1260.0	3.87	0.05
1262.0	4.07	0.07
1264.0	3.96	0.07
1266.0	3.91	0.07
1268.0	3.91	0.08
1270.0	3.84	0.07
1272.0	3.81	0.07
1274.0	3.84	0.05
1276.0	3.71	0.07
1278.0	3.67	0.04
1280.0	3.56	0.05
1282.0	3.65	0.05
1284.0	3.84	0.04
1286.0	3.97	0.04
1288.0	4.26	0.05
1290.0	4.35	0.05
1292.0	4.14	0.07
1294.0	3.94	0.08
1296.0	4.20	0.03
1298.0	4.15	0.05
1300.0	4.07	0.03
1302.0	4.06	0.06
1304.0	3.97	0.04
1306.0	3.90	0.08
1308.0	3.80	0.04
1310.0	3.65	0.06
1312.0	3.69	0.03
1314.0	3.71	0.05
1316.0	3.59	0.05
1318.0	3.73	0.06
1320.0	3.95	0.03
1322.0	3.94	0.05
1324.0	3.99	0.06
1326.0	4.00	0.06
1328.0	4.09	0.07
1330.0	4.06	0.07
1332.0	4.02	0.07
1334.0	4.19	0.07
1336.0	4.19	0.05
1338.0	4.10	0.08
1340.0	4.19	0.05
1342.0	4.07	0.07
1344.0	3.88	0.08
1346.0	3.86	0.07
1348.0	3.67	0.08
1350.0	3.59	0.06
1352.0	3.49	0.06
1354.0	3.41	0.06
1356.0	3.50	0.05
1358.0	3.55	0.05
1360.0	3.63	0.07
1362.0	3.80	0.06
1364.0	3.98	0.08
1366.0	3.99	0.07
1368.0	4.20	0.04
1370.0	4.04	0.06
1372.0	4.26	0.04
1374.0	4.21	0.05
1376.0	4.08	0.06
1378.0	4.20	0.08
1380.0	4.05	0.06
1382.0	3.96	0.06
1384.0	3.82	0.05
1386.0	3.72	0.08
1388.0	3.61	0.07
1390.0	3.73	0.06
1392.0	3.59	0.04
1394.0	3.70	0.11
1396.0	3.54	0.04
1398.0	3.49	0.05
1400.0	3.56	0.08
1402.0	3.63	0.05
1404.0	3.74	0.08
1406.0	3.97	0.06
1408.0	3.97	0.12
1410.0	4.20	0.07
1412.0	4.40	0.08
1414.0	4.22	0.08
1416.0	3.96	0.12
1418.0	3.84	0.07
1420.0	3.96	0.06
1422.0	3.83	0.09
1424.0	3.72	0.07
1426.0	3.72	0.06
1428.0	3.61	0.06
1430.0	3.52	0.05
1432.0	3.38	0.05
1434.0	3.38	0.06
1436.0	3.24	0.09
1438.0	3.24	0.07
1440.0	3.28	0.07
1442.0	3.34	0.04
1444.0	3.33	0.05
1446.0	3.36	0.05
1448.0	3.35	0.06
1450.0	3.49	0.06
1452.0	3.80	0.13
1454.0	4.20	0.13
1456.0	4.31	0.07
1458.0	4.24	0.06
1460.0	4.10	0.08
1462.0	4.07	0.06
1464.0	4.22	0.09
1466.0	3.99	0.09
1468.0	3.87	0.13
1470.0	3.62	0.07
1472.0	3.45	0.07
1474.0	3.38	0.08
1476.0	3.31	0.08
1478.0	3.42	0.07
1480.0	3.39	0.08
1482.0	3.44	0.07
1484.0	3.57	0.10
1486.0	3.42	0.05
1488.0	3.42	0.05
1490.0	3.51	0.05
1492.0	3.77	0.10
1494.0	4.05	0.09
1496.0	4.36	0.05
1498.0	4.24	0.07
1500.0	4.21	0.00
1502.5	4.29	0.06
1505.0	4.16	0.10
1507.5	4.15	0.06
1510.0	4.02	0.06
1512.5	3.74	0.08
1515.0	3.69	0.08
1517.5	3.79	0.11
1520.0	3.64	0.07
1522.5	3.67	0.05
1525.0	3.70	0.07
1527.5	3.89	0.08
1530.0	3.96	0.07
1532.5	4.20	0.11
1535.0	4.41	0.09
1537.5	4.35	0.07
1540.0	4.38	0.07
1542.5	4.30	0.06
1545.0	4.07	0.06
1547.5	3.97	0.05
1550.0	3.82	0.08
1552.5	3.68	0.07
1555.0	3.72	0.08
1557.5	3.79	0.06
1560.0	3.76	0.05
1562.5	3.58	0.06
1565.0	3.56	0.05
1567.5	3.73	0.05
1570.0	3.85	0.07
1572.5	4.17	0.05
1575.0	4.24	0.06
1577.5	4.18	0.07
1580.0	3.99	0.07
1582.5	3.99	0.07
1585.0	3.80	0.10
1587.5	3.66	0.07
1590.0	3.72	0.04
1592.5	3.86	0.07
1595.0	3.71	0.05
1597.5	3.61	0.04
1600.0	3.53	0.06
1602.5	3.37	0.04
1605.0	3.55	0.05
1607.5	3.66	0.08
1610.0	3.66	0.07
1612.5	3.88	0.05
1615.0	3.84	0.06
1617.5	3.90	0.05
1620.0	3.65	0.05
1622.5	3.68	0.05
1625.0	3.76	0.04
1627.5	4.01	0.07
1630.0	3.55	0.06
1632.5	3.57	0.07
1635.0	3.56	0.07
1637.5	3.60	0.08
1640.0	3.68	0.08
1642.5	3.88	0.06
1645.0	4.05	0.07
1647.5	4.17	0.08
1650.0	4.18	0.06
1652.5	4.25	0.06
1655.0	4.28	0.06
1657.5	4.11	0.06
1660.0	4.13	0.06
1662.5	4.08	0.07
1665.0	4.13	0.06
1667.5	3.91	0.06
1670.0	3.88	0.08
